Time,<1,1-4,5-9,10-14,15-19,20-29,30+
2012-09,0.07904029414542713,0.027142600176177645,4.1058403202061215e-05,9.78436391419633e-07,3.782777255152224e-08,9.145232922321327e-10,1.7479880119308094e-14
2012-10,0.21519259446218797,0.07186947823620837,0.00010945932797344626,2.6329012169995133e-06,1.0224791294973199e-07,2.421385903661427e-09,4.2951261986076336e-14
2012-11,0.8121296037144621,0.2473648229678771,0.00038614226220406306,9.586824000924896e-06,3.780052130621376e-07,8.332936309899536e-09,1.148767682406437e-13
2012-12,3.7109045745309377,6.229091326035996,0.006509688909192254,0.00011400110539700529,4.360091790071322e-06,3.7953027022498046e-07,7.415443792223493e-10
2013-01,5.338300680321328,4.897694385182905,0.005894110394554972,0.00013417154693850614,5.838231977969077e-06,3.0095161945549393e-07,9.0971825282595e-11
2013-02,1.2011507643228114,0.5709513810659095,0.000818454058644101,2.3378529740641204e-05,1.1285570191402355e-06,3.503577838806898e-08,1.219741504793117e-12
2013-03,0.23601547265084122,0.09674847771059536,0.00014347659423214225,4.301283957925443e-06,2.1240902932629054e-07,5.9347997516151145e-09,1.3794630348217766e-13
2013-04,0.06206382941686961,0.02455753036634256,3.661262877166288e-05,1.1093436873217381e-06,5.506309578315774e-08,1.5062141514440075e-09,3.236428188163956e-14
2013-05,0.02321051403630925,0.009067420579000895,1.3527117352510679e-05,4.113000416682008e-07,2.0450535595378912e-08,5.560983461250783e-10,1.1686852386446483e-14
2013-06,0.012505092513048766,0.0048530997495799255,7.238957288495992e-06,2.2047548803931743e-07,1.0971761265839948e-08,2.9762176203225996e-10,6.197231855291363e-15
2013-07,0.009739501260819239,0.003763145399493517,5.611854250102497e-06,1.7111138750099103e-07,8.520098167423537e-09,2.3077022858171076e-10,4.777604635693156e-15
